"Label (Grouping)","Richland County, South Carolina!!Estimate","Richland County, South Carolina!!Margin of Error"
"Total:","62,542","±1,721"
"    Less than 10.0 percent","2,005","±446"
"    10.0 to 14.9 percent","4,460","±522"
"    15.0 to 19.9 percent","7,499","±865"
"    20.0 to 24.9 percent","6,505","±674"
"    25.0 to 29.9 percent","6,996","±812"
"    30.0 to 34.9 percent","5,351","±620"
"    35.0 to 39.9 percent","3,553","±551"
"    40.0 to 49.9 percent","5,089","±696"
"    50.0 percent or more","17,013","±1,330"
"    Not computed","4,071","±539"
