"Label (Grouping)","Richland County, South Carolina!!Estimate","Richland County, South Carolina!!Margin of Error"
"Total:","59,094","±1,412"
"    Less than 10.0 percent","1,669","±299"
"    10.0 to 14.9 percent","4,070","±537"
"    15.0 to 19.9 percent","6,992","±703"
"    20.0 to 24.9 percent","6,381","±596"
"    25.0 to 29.9 percent","6,720","±663"
"    30.0 to 34.9 percent","4,462","±500"
"    35.0 to 39.9 percent","3,901","±483"
"    40.0 to 49.9 percent","5,983","±568"
"    50.0 percent or more","15,414","±866"
"    Not computed","3,502","±460"
